Kmstand;FzgMarke;Modell;Kraftstoff_diesel;Getriebe;Angebotsart;Preis;Leistung;Baujahr;Anzahl verkaufte Autos;
233071;Skoda;Praktik;Diesel;Manual;Used;2.990,00 €;90;2012;;
225000;Ford;Focus;Diesel;Manual;Used;2.990,00 €;109;2011;;
62300;Mitsubishi;Space Star;Gasoline;Manual;Used;2.990,00 €;71;2014;;
200000;Dacia;Dokker;LPG;Manual;Used;2.990,00 €;83;2014;;
139000;Chevrolet;Spark;Gasoline;Manual;Used;2.990,00 €;68;2011;;
134990;Opel;Corsa;Gasoline;Manual;Used;2.990,00 €;69;2011;;
125000;Renault;Clio;Gasoline;Manual;Used;2.990,00 €;58;2011;;
259000;Ford;Fiesta;Diesel;Manual;Used;2.990,00 €;71;2011;;
278000;Kia;Rio;Diesel;Manual;Used;2.990,00 €;75;2013;;
56841;Dacia;Sandero;Gasoline;Manual;Used;2.990,00 €;75;2011;;
130000;Nissan;Micra;Gasoline;Manual;Used;2.990,00 €;80;2011;;
95000;Opel;Agila;Gasoline;Manual;Used;2.990,00 €;65;2011;;
212000;Fiat;Punto;Diesel;Manual;Used;2.990,00 €;84;2012;;
106000;Nissan;Pixo;Gasoline;Manual;Used;2.990,00 €;68;2011;;
109000;Hyundai;i10;Gasoline;Manual;Used;2.990,00 €;67;2011;;
116000;Fiat;Punto Evo;Gasoline;Manual;Used;2.990,00 €;69;2011;;
243700;SEAT;Ibiza;Gasoline;Manual;Used;2.990,00 €;86;2011;;
101760;Ford;Ka/Ka+;Gasoline;Manual;Used;2.990,00 €;69;2011;;
275000;Opel;Meriva;Diesel;Manual;Used;2.990,00 €;131;2011;;
114900;Suzuki;Splash;Gasoline;Manual;Used;2.990,00 €;65;2011;;
159468;smart;forTwo;Gasoline;Automatic;Used;2.990,00 €;61;2011;;
101390;Peugeot;207;Gasoline;Manual;Used;2.990,00 €;95;2011;;
159600;Dacia;Sandero;Gasoline;Manual;Used;2.990,00 €;75;2011;;
123450;Toyota;Aygo;Gasoline;Manual;Used;2.990,00 €;68;2011;;
100000;Renault;Twingo;Gasoline;Manual;Used;2.990,00 €;58;2011;;
102000;Renault;Clio;Gasoline;Manual;Used;2.990,00 €;75;2011;;
139990;Renault;Twingo;Gasoline;Manual;Used;2.990,00 €;75;2013;;
118800;Mitsubishi;Colt;Gasoline;Manual;Used;2.999,00 €;95;2011;;
390000;Fiat;Doblo;Diesel;Manual;Used;2.999,00 €;101;2014;;
265000;Mercedes-Benz;A 180;Diesel;Manual;Used;2.999,00 €;109;2011;;
145600;Opel;Corsa;Gasoline;Manual;Used;2.999,00 €;69;2011;;
175000;Renault;Clio;LPG;Manual;Used;2.999,00 €;75;2011;;
110113;Peugeot;107;Gasoline;Manual;Used;2.999,00 €;68;2012;;
230801;Chevrolet;Aveo;Diesel;Manual;Used;2.999,00 €;95;2012;;
163205;SEAT;Ibiza;Gasoline;Manual;Used;2.999,00 €;60;2011;;
91700;Chevrolet;Spark;Gasoline;Manual;Used;2.999,00 €;68;2011;;
125537;Fiat;Grande Punto;Gasoline;Manual;Used;2.999,00 €;69;2012;;
96600;Kia;Picanto;Gasoline;Manual;Used;2.999,00 €;69;2012;;
152000;Mitsubishi;Colt;Gasoline;Manual;Used;2.999,00 €;95;2012;;
104000;Renault;Twingo;Gasoline;Manual;Used;2.999,00 €;75;2013;;
151700;Renault;Twingo;Gasoline;Manual;Used;2.999,00 €;75;2013;;
132000;Fiat;Punto Evo;Gasoline;Manual;Used;2.999,00 €;69;2011;;
269000;Opel;Zafira;Diesel;Manual;Used;2.999,00 €;110;2011;;
299000;Hyundai;i30;Diesel;Manual;Used;2.999,00 €;90;2011;;
196996;Skoda;Fabia;Gasoline;Manual;Used;2.999,00 €;69;2011;;
177000;Mitsubishi;Colt;Gasoline;Manual;Used;2.999,00 €;95;2011;;
107600;Opel;Corsa;Gasoline;Manual;Used;2.999,00 €;69;2011;;
122372;Peugeot;206;Gasoline;Manual;Used;2.999,00 €;60;2011;;
51000;Lada;Kalina;Gasoline;Manual;Used;2.999,00 €;90;2011;;
249215;Nissan;NV200;Diesel;Manual;Used;2.999,00 €;86;2011;;
182287;Volkswagen;up!;Gasoline;Manual;Used;2.999,00 €;60;2012;;
174000;Citroen;C5;Gasoline;Automatic;Used;2.999,00 €;120;2012;;
88139;SEAT;Mii;Gasoline;Manual;Used;2.999,00 €;60;2012;;
88531;Peugeot;Bipper;Diesel;Manual;Used;2.999,00 €;75;2013;;
180000;Citroen;C5;Diesel;Automatic;Used;3.000,00 €;111;2011;;
106950;Toyota;Yaris;Gasoline;Manual;Used;3.000,00 €;69;2011;;
103745;Renault;Twingo;Gasoline;Manual;Used;3.000,00 €;75;2011;;
140000;Ford;Ka/Ka+;Gasoline;Manual;Used;3.000,00 €;69;2013;;
